,Unnamed: 0,Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target
0,0,Id_eqz61wz7yn,2022-02-23,2,studying,,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,,50 - 59 %,,0 - 29 %,1,1,2000,5,0
1,1,Id_kj5k3g5wud,2023-02-06,4,unemployed,427.0,Suburb,North West,1.0,0.0,0.0,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1989,4,1
2,2,Id_9h0isj38y4,2022-08-08,3,other,,Urban,Free State,1.0,0.0,0.0,,30 - 39 %,,40 - 49 %,,30 - 39 %,0,1,1996,7,1
3,3,Id_5ch3zwpdef,2022-03-16,2,unemployed,810.0,Urban,Eastern Cape,,,,,,,,,,0,1,2000,1,0
4,4,Id_g4elxibjej,2023-03-22,4,studying,,Urban,Limpopo,,,,,,,,,,1,1,1998,12,0
5,5,Id_l9uksprsdf,2023-03-23,4,studying,,Rural,KwaZulu-Natal,,,,,,,,,,1,1,1996,12,0
6,6,Id_o873eizyxq,2023-02-28,4,unemployed,1826.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0
7,7,Id_snwm3eylks,2023-02-28,4,unemployed,462.0,Urban,Mpumalanga,0.0,0.0,0.0,3.0,,,,,,0,1,1997,1,0
8,8,Id_xfbqnyzvov,2023-02-09,4,wage employed,273.0,Urban,KwaZulu-Natal,1.0,,,1.0,0 - 29 %,,60 - 69 %,,30 - 39 %,0,1,2000,1,0
9,9,Id_mj4hcy8x75,2023-03-01,4,self employed,1859.0,Rural,Limpopo,,,,,,,,,,0,1,1991,4,1
10,10,Id_h7gc4tnjg4,2022-08-10,3,other,,Urban,Gauteng,1.0,,,2.0,30 - 39 %,,50 - 59 %,,40 - 49 %,1,1,1999,9,1
11,11,Id_nnrpawrczv,2022-02-23,2,unemployed,736.0,Urban,Limpopo,1.0,,,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1992,3,0
12,12,Id_x5fkg0l401,2021-08-19,1,studying,,Urban,KwaZulu-Natal,1.0,,,4.0,60 - 69 %,,60 - 69 %,,60 - 69 %,0,1,1998,9,1
13,13,Id_syk9ubb0fi,2021-08-19,1,wage employed,0.0,Suburb,Mpumalanga,0.0,,,1.0,,,,,,0,1,1987,12,0
14,14,Id_zaol8djev9,2022-03-02,2,unemployed,796.0,Urban,KwaZulu-Natal,1.0,,,,30 - 39 %,,70 - 79 %,,30 - 39 %,0,1,2000,12,0
15,15,Id_j028yx8q4y,2021-08-18,1,self employed,2181.0,Urban,Free State,1.0,0.0,0.0,3.0,,,40 - 49 %,,,1,1,1989,11,1
