,Month;Category;Value;Percentage Change (From Prior Month)
0,28-02-2023;Headline_CPI;107.9;0.7
1,28-02-2023;Food and non-alcoholic beverages;115.6;1
2,28-02-2023;Alcoholic beverages and tobacco;106.9;0.4
3,28-02-2023;Clothing and footwear;103.5;0.6
4,28-02-2023;Housing and utilities;104.1;0
5,28-02-2023;Household contents and services;106.6;0
6,28-02-2023;Health;108.5;3.4
7,28-02-2023;Transport;110.6;0.6
8,28-02-2023;Communication;99.8;0.4
9,28-02-2023;Recreation and culture;103.3;-0.1
10,28-02-2023;Education;104.4;0
11,28-02-2023;Restaurants and hotels ;108.8;1.9
12,28-02-2023;Miscellaneous goods and services;107.7;2.2
13,31-01-2023;Headline_CPI;107.1;-0.1
14,31-01-2023;Food and non-alcoholic beverages;114.4;1.8
15,31-01-2023;Alcoholic beverages and tobacco;106.5;0.3
16,31-01-2023;Clothing and footwear;102.9;0.1
17,31-01-2023;Housing and utilities;104.1;0
18,31-01-2023;Household contents and services;106.6;0.5
19,31-01-2023;Health;104.9;0.1
20,31-01-2023;Transport;109.9;-3.5
21,31-01-2023;Communication;99.4;0.3
22,31-01-2023;Recreation and culture;103.4;0
23,31-01-2023;Education;104.4;0
24,31-01-2023;Restaurants and hotels ;106.8;-0.9
25,31-01-2023;Miscellaneous goods and services;105.4;0.5
26,31-12-2022;Headline_CPI;107.2;0.4
27,31-12-2022;Food and non-alcoholic beverages;112.4;0.4
28,31-12-2022;Alcoholic beverages and tobacco;106.2;-0.2
29,31-12-2022;Clothing and footwear;102.8;0.2
30,31-12-2022;Housing and utilities;104.1;0.3
31,31-12-2022;Household contents and services;106.1;0.9
32,31-12-2022;Health;104.8;0.1
33,31-12-2022;Transport;113.9;0.7
34,31-12-2022;Communication;99.1;-0.1
35,31-12-2022;Recreation and culture;103.4;0.6
36,31-12-2022;Education;104.4;0
37,31-12-2022;Restaurants and hotels ;107.8;-0.2
38,31-12-2022;Miscellaneous goods and services;104.9;0.2
39,30-11-2022;Headline_CPI;106.8;0.3
40,30-11-2022;Food and non-alcoholic beverages;111.9;0.5
41,30-11-2022;Alcoholic beverages and tobacco;106.4;0.3
42,30-11-2022;Clothing and footwear;102.6;0
43,30-11-2022;Housing and utilities;103.8;0
44,30-11-2022;Household contents and services;105.2;0.2
45,30-11-2022;Health;104.7;0.2
46,30-11-2022;Transport;113.1;1.3
47,30-11-2022;Communication;99.2;-0.6
48,30-11-2022;Recreation and culture;102.8;0.1
49,30-11-2022;Education;104.4;0
50,30-11-2022;Restaurants and hotels ;108;0.6
51,30-11-2022;Miscellaneous goods and services;104.7;0
52,31-10-2022;Headline_CPI;106.5;0.4
53,31-10-2022;Food and non-alcoholic beverages;111.3;0.9
54,31-10-2022;Alcoholic beverages and tobacco;106.1;0.5
55,31-10-2022;Clothing and footwear;102.6;0.1
56,31-10-2022;Housing and utilities;103.8;0.1
57,31-10-2022;Household contents and services;105;0.5
58,31-10-2022;Health;104.5;0.5
59,31-10-2022;Transport;111.7;-0.3
60,31-10-2022;Communication;99.8;-0.1
61,31-10-2022;Recreation and culture;102.7;0.2
62,31-10-2022;Education;104.4;0
63,31-10-2022;Restaurants and hotels ;107.4;1.1
64,31-10-2022;Miscellaneous goods and services;104.7;0.9
65,30-09-2022;Headline_CPI;106.1;0.1
66,30-09-2022;Food and non-alcoholic beverages;110.3;0.5
67,30-09-2022;Alcoholic beverages and tobacco;105.6;0.9
68,30-09-2022;Clothing and footwear;102.5;0.4
69,30-09-2022;Housing and utilities;103.7;0.5
70,30-09-2022;Household contents and services;104.5;0.8
71,30-09-2022;Health;104;-0.2
72,30-09-2022;Transport;112;-2.2
73,30-09-2022;Communication;99.9;-0.2
74,30-09-2022;Recreation and culture;102.5;0.1
75,30-09-2022;Education;104.4;0
76,30-09-2022;Restaurants and hotels ;106.2;1.8
77,30-09-2022;Miscellaneous goods and services;103.8;0.3
78,31-08-2022;Headline_CPI;106;0.2
79,31-08-2022;Food and non-alcoholic beverages;109.7;1.8
80,31-08-2022;Alcoholic beverages and tobacco;104.7;0.3
81,31-08-2022;Clothing and footwear;102.1;0.5
82,31-08-2022;Housing and utilities;103.2;0.1
83,31-08-2022;Household contents and services;103.7;0.4
84,31-08-2022;Health;104.2;0.1
85,31-08-2022;Transport;114.5;-1
86,31-08-2022;Communication;100.1;0.2
87,31-08-2022;Recreation and culture;102.4;0.1
88,31-08-2022;Education;104.4;0
89,31-08-2022;Restaurants and hotels ;104.3;-0.3
90,31-08-2022;Miscellaneous goods and services;103.5;0.8
91,31-07-2022;Headline_CPI;105.8;1.5
92,31-07-2022;Food and non-alcoholic beverages;107.8;1.1
93,31-07-2022;Alcoholic beverages and tobacco;104.4;-0.1
94,31-07-2022;Clothing and footwear;101.6;0.3
95,31-07-2022;Housing and utilities;103.1;1.9
96,31-07-2022;Household contents and services;103.3;0.3
97,31-07-2022;Health;104.1;-0.5
98,31-07-2022;Transport;115.6;4.8
99,31-07-2022;Communication;99.4;-0.4
100,31-07-2022;Recreation and culture;102.3;1.1
101,31-07-2022;Education;104.4;0
102,31-07-2022;Restaurants and hotels ;104.6;0.4
103,31-07-2022;Miscellaneous goods and services;103.4;0.4
104,30-06-2022;Headline_CPI;104.2;1.1
105,30-06-2022;Food and non-alcoholic beverages;106.6;1.2
106,30-06-2022;Alcoholic beverages and tobacco;104.5;0.1
107,30-06-2022;Clothing and footwear;101.3;0.4
108,30-06-2022;Housing and utilities;101.2;0.6
109,30-06-2022;Household contents and services;103;1.2
110,30-06-2022;Health;104.6;0.3
111,30-06-2022;Transport;110.3;4.2
112,30-06-2022;Communication;100.3;0.4
113,30-06-2022;Recreation and culture;101.2;0.2
114,30-06-2022;Education;104.4;0
115,30-06-2022;Restaurants and hotels ;104.2;0.4
116,30-06-2022;Miscellaneous goods and services;103;0.1
117,31-05-2022;Headline_CPI;103.1;0.7
118,31-05-2022;Food and non-alcoholic beverages;105.3;2.1
119,31-05-2022;Alcoholic beverages and tobacco;104.4;0.8
120,31-05-2022;Clothing and footwear;100.9;0.2
121,31-05-2022;Housing and utilities;100.6;0.1
122,31-05-2022;Household contents and services;101.8;0.7
123,31-05-2022;Health;104.3;0.3
124,31-05-2022;Transport;105.9;0.8
125,31-05-2022;Communication;99.9;0.3
126,31-05-2022;Recreation and culture;101;0.3
127,31-05-2022;Education;104.4;0
128,31-05-2022;Restaurants and hotels ;103.8;0.5
129,31-05-2022;Miscellaneous goods and services;102.9;0.1
130,30-04-2022;Headline_CPI;102.4;0.6
131,30-04-2022;Food and non-alcoholic beverages;103.1;0.7
132,30-04-2022;Alcoholic beverages and tobacco;103.6;0.8
133,30-04-2022;Clothing and footwear;100.7;0.2
134,30-04-2022;Housing and utilities;100.5;0
135,30-04-2022;Household contents and services;101.1;0.3
136,30-04-2022;Health;104;0.3
137,30-04-2022;Transport;105.1;1.4
138,30-04-2022;Communication;99.6;-0.1
139,30-04-2022;Recreation and culture;100.7;0.3
140,30-04-2022;Education;104.4;0
141,30-04-2022;Restaurants and hotels ;103.3;0.3
142,30-04-2022;Miscellaneous goods and services;102.8;0.9
143,31-03-2022;Headline_CPI;101.8;1
144,31-03-2022;Food and non-alcoholic beverages;102.4;0.6
145,31-03-2022;Alcoholic beverages and tobacco;102.8;2.2
146,31-03-2022;Clothing and footwear;100.5;0.2
147,31-03-2022;Housing and utilities;100.5;0.4
148,31-03-2022;Household contents and services;100.8;0.4
149,31-03-2022;Health;103.7;0.5
150,31-03-2022;Transport;103.7;3.1
151,31-03-2022;Communication;99.7;0
152,31-03-2022;Recreation and culture;100.4;0.1
153,31-03-2022;Education;104.4;4.4
154,31-03-2022;Restaurants and hotels ;103;1.1
155,31-03-2022;Miscellaneous goods and services;101.9;0.4
156,28-02-2022;Headline_CPI;100.8;0.6
157,28-02-2022;Food and non-alcoholic beverages;101.8;0.9
158,28-02-2022;Alcoholic beverages and tobacco;100.6;0.6
159,28-02-2022;Clothing and footwear;100.3;0.1
160,28-02-2022;Housing and utilities;100.1;0.1
161,28-02-2022;Household contents and services;100.4;0
162,28-02-2022;Health;103.2;3.1
163,28-02-2022;Transport;100.6;1.7
164,28-02-2022;Communication;99.7;-0.1
165,28-02-2022;Recreation and culture;100.3;0.1
166,28-02-2022;Education;100;0
167,28-02-2022;Restaurants and hotels ;101.9;0.7
168,28-02-2022;Miscellaneous goods and services;101.5;0.9
169,31-01-2022;Headline_CPI;100.2;0.2
170,31-01-2022;Food and non-alcoholic beverages;100.9;0.9
171,31-01-2022;Alcoholic beverages and tobacco;100;0
172,31-01-2022;Clothing and footwear;100.2;0.2
173,31-01-2022;Housing and utilities;100;0
174,31-01-2022;Household contents and services;100.4;0.4
175,31-01-2022;Health;100.1;0.1
176,31-01-2022;Transport;98.9;-1.1
177,31-01-2022;Communication;99.8;-0.2
178,31-01-2022;Recreation and culture;100.2;0.2
179,31-01-2022;Education;100;0
180,31-01-2022;Restaurants and hotels ;101.2;1.2
181,31-01-2022;Miscellaneous goods and services;100.6;0.6
