,Unnamed: 0,Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth
0,0,Id_r90136smvl,2022-08-03,3,other,,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,0 - 29 %,,50 - 59 %,,40 - 49 %,0,1,2002,12
1,1,Id_wawdqhmu6s,2023-03-16,4,unemployed,979.0,Urban,Western Cape,1.0,0.0,0.0,,,,40 - 49 %,,,1,1,1989,12
2,2,Id_ap2czff2bu,2023-03-14,4,unemployed,339.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,1.0,,,,,,1,1,1989,12
3,3,Id_uhgink7iha,2023-02-16,4,studying,,Urban,Gauteng,1.0,0.0,0.0,1.0,,80 - 100 %,60 - 69 %,,,0,1,2002,11
4,4,Id_5j6bzk3k81,2023-03-23,4,unemployed,613.0,Urban,Gauteng,0.0,0.0,0.0,5.0,,,,,,1,1,1993,10
5,5,Id_r1njgsuhs9,2023-02-27,4,unemployed,5.0,Rural,Limpopo,0.0,0.0,0.0,,,,,,,0,1,1992,6
6,6,Id_d9n59ghzjb,2022-02-24,2,studying,,Urban,Gauteng,1.0,0.0,0.0,,,50 - 59 %,60 - 69 %,,,1,1,1993,9
7,7,Id_vzab7oazqr,2022-03-04,2,studying,,Urban,North West,1.0,0.0,0.0,4.0,40 - 49 %,,,50 - 59 %,30 - 39 %,1,1,2000,1
8,8,Id_nefqci92p8,2023-02-27,4,unemployed,401.0,Rural,KwaZulu-Natal,0.0,0.0,0.0,1.0,,,,,,0,1,2003,7
9,9,Id_qqrnnetvxv,2023-02-13,4,studying,,Rural,Eastern Cape,1.0,0.0,0.0,1.0,,50 - 59 %,60 - 69 %,,,1,1,2000,1
10,10,Id_7w2fd5w86s,2022-08-01,3,unemployed,979.0,Rural,Limpopo,1.0,0.0,0.0,2.0,0 - 29 %,,50 - 59 %,,40 - 49 %,1,1,2000,6
11,11,Id_pzpuicll9c,2022-07-28,3,unemployed,912.0,Suburb,Gauteng,,,,,,,,,,1,1,2001,8
12,12,Id_st3is8bql2,2023-03-07,4,wage employed,945.0,Urban,Gauteng,0.0,0.0,0.0,,,,,,,1,1,1996,4
13,13,Id_qs1zt43xvu,2023-02-14,4,unemployed,128.0,Urban,Free State,,,,,,,,,,0,1,1992,12
14,14,Id_9cu0vdzh1m,2022-03-04,2,wage employed,153.0,Rural,KwaZulu-Natal,,,,,,,,,,1,1,2000,1
15,15,Id_poxmo2d4pe,2021-08-16,1,employment programme,0.0,Urban,Eastern Cape,1.0,1.0,,5.0,,80 - 100 %,,60 - 69 %,,1,1,1996,10
16,16,Id_lkbh7wwizt,2023-02-09,4,wage employed,92.0,Urban,Western Cape,1.0,,,2.0,,40 - 49 %,60 - 69 %,,,1,1,2000,1
17,17,Id_o33z7do9gv,2023-02-17,4,self employed,,Urban,Gauteng,1.0,0.0,0.0,,,30 - 39 %,40 - 49 %,,,1,1,1996,7
18,18,Id_2g0jvhjt7m,2022-03-01,2,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,,60 - 69 %,60 - 69 %,,,0,1,2001,1
19,19,Id_a8coh9dw38,2021-08-12,1,unemployed,731.0,Rural,North West,1.0,,,2.0,40 - 49 %,,60 - 69 %,,50 - 59 %,1,1,1993,8
20,20,Id_2qj0ah1psu,2022-08-15,3,studying,,Suburb,Western Cape,,,,,,,,,,0,1,1999,7
21,21,Id_kpvmehnz28,2023-03-23,4,unemployed,64.0,Rural,North West,1.0,0.0,0.0,3.0,30 - 39 %,,50 - 59 %,,30 - 39 %,1,1,2004,9
22,22,Id_mgltuwq5z6,2022-09-03,3,other,,Urban,Free State,1.0,,,1.0,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,1989,4
23,23,Id_d4og0tu3n8,2022-07-28,3,other,,Urban,Gauteng,,,,,,,,,,0,1,1996,10
24,24,Id_yufvflupuk,2022-02-28,2,studying,,Urban,Free State,0.0,,,,,,,,,0,1,2000,2
25,25,Id_u0whg32wag,2022-03-03,2,studying,,Urban,Gauteng,1.0,0.0,0.0,2.0,,50 - 59 %,,50 - 59 %,,1,1,2000,1
26,26,Id_xt0ryw5lj3,2022-03-09,2,wage employed,214.0,Urban,Western Cape,1.0,0.0,0.0,4.0,,50 - 59 %,,50 - 59 %,,1,1,2002,11
27,27,Id_b16iwbgm7h,2021-08-16,1,studying,,Urban,KwaZulu-Natal,1.0,1.0,0.0,2.0,,50 - 59 %,60 - 69 %,,,0,1,1999,2
28,28,Id_rw1mzpkmbh,2023-03-23,4,unemployed,1466.0,Urban,Western Cape,,,,,,,,,,1,1,1990,9
29,29,Id_dh12ciw7aj,2023-03-13,4,unemployed,64.0,Urban,Western Cape,,,,,,,,,,1,1,1998,12
30,30,Id_ucc8nen4br,2023-02-06,4,unemployed,547.0,Urban,Gauteng,,,,,,,,,,0,1,1997,9
31,31,Id_zabfn6r9hy,2022-03-01,2,wage employed,639.0,Urban,Gauteng,,,,,,,,,,0,1,1982,7
32,32,Id_9316s6vbdf,2023-03-24,4,studying,,Urban,Mpumalanga,0.0,0.0,0.0,2.0,,,,,,1,1,1996,10
33,33,Id_qj48ua0e71,2023-03-23,4,wage employed,887.0,Urban,Gauteng,1.0,0.0,0.0,,40 - 49 %,,50 - 59 %,,,1,1,2002,8
34,34,Id_iev9vrtvwh,2023-03-01,4,unemployed,273.0,Urban,Mpumalanga,,,,,,,,,,0,1,2000,11
35,35,Id_gta8cmufua,2022-03-09,2,wage employed,326.0,Suburb,KwaZulu-Natal,1.0,0.0,1.0,3.0,0 - 29 %,,50 - 59 %,,,1,1,1997,10
36,36,Id_zd7zmjgmlh,2022-08-12,3,wage employed,,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,,50 - 59 %,,,1,1,1999,6
37,37,Id_9xsxi3zkds,2022-08-04,3,unemployed,583.0,Rural,North West,1.0,0.0,0.0,,,50 - 59 %,60 - 69 %,,,1,1,2001,10
38,38,Id_vor2e80rle,2023-03-02,4,unemployed,429.0,Urban,Gauteng,1.0,0.0,0.0,4.0,,30 - 39 %,,40 - 49 %,,0,1,2002,7
39,39,Id_81faoo7jtd,2022-07-29,3,studying,,Urban,Gauteng,1.0,0.0,0.0,3.0,,30 - 39 %,60 - 69 %,,,1,1,2002,11
40,40,Id_t8cshwbsx1,2023-03-08,4,unemployed,948.0,Rural,Limpopo,0.0,0.0,0.0,,,,,,,1,1,1992,4
41,41,Id_ce7987x9yb,2023-03-06,4,unemployed,429.0,Urban,Gauteng,1.0,0.0,0.0,5.0,30 - 39 %,,,60 - 69 %,40 - 49 %,1,1,2003,10
42,42,Id_vwbab4cxdn,2022-03-03,2,unemployed,422.0,Suburb,KwaZulu-Natal,1.0,0.0,0.0,5.0,,40 - 49 %,,50 - 59 %,,1,1,2000,1
43,43,Id_wlhdmq0y8v,2023-03-23,4,studying,,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,,,,,,1,1,2000,8
44,44,Id_ijbnb5l2r7,2023-02-20,4,unemployed,851.0,Suburb,Mpumalanga,1.0,0.0,0.0,4.0,0 - 29 %,,,50 - 59 %,,0,1,2001,11
45,45,Id_291krf6edr,2023-03-09,4,wage employed,181.0,Suburb,Limpopo,1.0,0.0,1.0,1.0,70 - 79 %,,60 - 69 %,,80 - 100 %,1,1,1998,7
46,46,Id_li6hmy2e8y,2022-03-01,2,studying,,Rural,Mpumalanga,,,,,,,,,,0,1,1998,11
47,47,Id_ugqu9wfir4,2022-08-10,3,unemployed,36.0,Urban,Free State,0.0,0.0,0.0,1.0,,,,,,0,1,1990,10
48,48,Id_5mvhlc4oto,2022-02-24,2,unemployed,1528.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,,,30 - 39 %,,40 - 49 %,,1,1,1997,6
49,49,Id_omktaezr3k,2023-02-13,4,studying,,Rural,Eastern Cape,,,,,,,,,,0,1,2002,12
50,50,Id_mp2omgupeg,2022-02-22,2,self employed,296.0,Rural,KwaZulu-Natal,1.0,,,2.0,,,,,,1,1,1997,4
51,51,Id_guxs9a9rp8,2023-02-06,4,unemployed,36.0,Urban,Limpopo,1.0,0.0,0.0,,30 - 39 %,,60 - 69 %,,50 - 59 %,0,1,2001,10
52,52,Id_owwgvlhtm2,2023-02-02,4,studying,,Urban,Gauteng,1.0,,,1.0,0 - 29 %,,70 - 79 %,,,0,1,2000,1
53,53,Id_2phe5bonhr,2022-03-04,2,unemployed,430.0,Urban,Eastern Cape,1.0,,,1.0,,30 - 39 %,30 - 39 %,,,1,1,2000,1
54,54,Id_wxujl0skjo,2023-03-20,4,studying,,Rural,Mpumalanga,1.0,0.0,0.0,2.0,,50 - 59 %,60 - 69 %,,,1,1,2000,7
55,55,Id_ezcagqsdoh,2023-03-14,4,wage employed,31.0,Urban,North West,,,,,,,,,,1,1,1998,1
56,56,Id_3ojndwyspm,2021-08-12,1,studying,,Rural,Limpopo,1.0,,,0.0,,,,,,0,1,1996,6
57,57,Id_di8dup17uk,2023-02-15,4,unemployed,485.0,Urban,North West,,,,,,,,,,0,1,2002,7
58,58,Id_2s9fwx18nt,2021-08-19,1,wage employed,0.0,Urban,Gauteng,1.0,,,2.0,,30 - 39 %,50 - 59 %,,,1,1,1990,2
59,59,Id_gw0p5veuf2,2023-03-02,4,wage employed,31.0,Rural,Mpumalanga,1.0,0.0,0.0,1.0,,30 - 39 %,40 - 49 %,,,0,1,1991,11
60,60,Id_ul54vz814d,2022-08-11,3,studying,,Rural,Mpumalanga,1.0,,,3.0,,,,,,0,1,1997,1
61,61,Id_fk01mum0zb,2021-08-19,1,self employed,58.0,Urban,Gauteng,1.0,,,0.0,,30 - 39 %,60 - 69 %,,,0,1,1994,9
62,62,Id_i5ho67pyep,2023-02-07,4,studying,,Urban,Gauteng,1.0,,,,30 - 39 %,,,60 - 69 %,,1,1,2000,1
63,63,Id_04whybbwpy,2023-02-20,4,unemployed,1681.0,Urban,Eastern Cape,,,,,,,,,,0,1,1996,7
64,64,Id_0qijiqqjfw,2021-08-19,1,self employed,1702.0,Rural,Eastern Cape,1.0,,,1.0,0 - 29 %,,40 - 49 %,,,0,1,1992,7
65,65,Id_ib78u6d1u5,2022-02-24,2,wage employed,150.0,Urban,Mpumalanga,1.0,0.0,1.0,,,,60 - 69 %,,,1,1,1985,5
66,66,Id_wil30h6uqo,2023-02-10,4,unemployed,2259.0,Urban,North West,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,0,1,1994,5
67,67,Id_gco4s6s0y0,2023-03-22,4,studying,,Suburb,Mpumalanga,1.0,0.0,0.0,1.0,,40 - 49 %,30 - 39 %,,,1,1,2001,12
68,68,Id_i2zt2wyw67,2023-03-22,4,unemployed,2256.0,Urban,Eastern Cape,1.0,0.0,0.0,4.0,,40 - 49 %,40 - 49 %,,,1,1,1995,12
69,69,Id_u6qzopxfoo,2022-08-04,3,studying,,Urban,Gauteng,1.0,0.0,0.0,4.0,30 - 39 %,,40 - 49 %,,30 - 39 %,0,1,2000,10
70,70,Id_9qhc9jmlw5,2023-02-13,4,unemployed,67.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,,30 - 39 %,50 - 59 %,,,0,1,2003,11
71,71,Id_3hqg13lpub,2023-02-14,4,wage employed,273.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,,,0 - 29 %,40 - 49 %,,,1,1,2000,1
72,72,Id_xg69jmr988,2023-03-24,4,studying,,Urban,KwaZulu-Natal,,,,,,,,,,1,1,2000,6
73,73,Id_uf4nopfet5,2023-03-23,4,wage employed,150.0,Urban,Gauteng,,,,,,,,,,1,1,1993,3
74,74,Id_nvu0rx02yq,2023-02-10,4,studying,,Urban,North West,1.0,0.0,0.0,4.0,,40 - 49 %,,50 - 59 %,,1,1,2001,3
75,75,Id_wpetow3d86,2023-03-13,4,unemployed,1160.0,Urban,Limpopo,,,,,,,,,,1,1,1997,8
76,76,Id_0b6micntbf,2022-02-22,2,studying,,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,,,50 - 59 %,,1,1,1981,3
77,77,Id_t2hpqyerdd,2023-02-13,4,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,,30 - 39 %,50 - 59 %,,,1,1,2000,1
78,78,Id_9w39fssh0z,2023-03-22,4,unemployed,429.0,Urban,Limpopo,1.0,0.0,0.0,2.0,,0 - 29 %,40 - 49 %,,,1,1,1999,12
79,79,Id_izf7avuyof,2022-08-03,3,unemployed,248.0,Suburb,KwaZulu-Natal,1.0,0.0,0.0,3.0,,50 - 59 %,50 - 59 %,,,0,1,2001,1
80,80,Id_horgi1i0h5,2022-08-08,3,other,,Urban,Gauteng,1.0,,,4.0,,,,,,0,1,2001,11
81,81,Id_c1ck3oamtf,2023-02-09,4,unemployed,250.0,Urban,Limpopo,,,,,,,,,,0,1,1989,8
82,82,Id_b97f46dlm4,2023-02-13,4,wage employed,151.0,Suburb,Mpumalanga,1.0,,,4.0,,30 - 39 %,50 - 59 %,,,1,1,2000,1
83,83,Id_e7jnyu9nio,2022-08-12,3,unemployed,767.0,Urban,Western Cape,1.0,,1.0,,,40 - 49 %,50 - 59 %,,,1,1,1998,9
84,84,Id_6jis2dwfpf,2023-03-06,4,studying,,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,,50 - 59 %,,,1,1,2001,2
85,85,Id_cwfw3jz8mn,2023-03-24,4,unemployed,429.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,,60 - 69 %,,30 - 39 %,1,1,2001,1
