,Person_id,Survey_date,Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target
0,Id_eqz61wz7yn,2022-02-23,2,studying,,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,,50 - 59 %,,0 - 29 %,1,1,2000,5,0
1,Id_kj5k3g5wud,2023-02-06,4,unemployed,427.0,Suburb,North West,1.0,0.0,0.0,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1989,4,1
2,Id_9h0isj38y4,2022-08-08,3,other,,Urban,Free State,1.0,0.0,0.0,,30 - 39 %,,40 - 49 %,,30 - 39 %,0,1,1996,7,1
3,Id_5ch3zwpdef,2022-03-16,2,unemployed,810.0,Urban,Eastern Cape,,,,,,,,,,0,1,2000,1,0
4,Id_g4elxibjej,2023-03-22,4,studying,,Urban,Limpopo,,,,,,,,,,1,1,1998,12,0
5,Id_l9uksprsdf,2023-03-23,4,studying,,Rural,KwaZulu-Natal,,,,,,,,,,1,1,1996,12,0
6,Id_o873eizyxq,2023-02-28,4,unemployed,1826.0,Urban,Mpumalanga,1.0,0.0,0.0,2.0,30 - 39 %,,60 - 69 %,,40 - 49 %,1,1,2000,1,0
7,Id_snwm3eylks,2023-02-28,4,unemployed,462.0,Urban,Mpumalanga,0.0,0.0,0.0,3.0,,,,,,0,1,1997,1,0
8,Id_xfbqnyzvov,2023-02-09,4,wage employed,273.0,Urban,KwaZulu-Natal,1.0,,,1.0,0 - 29 %,,60 - 69 %,,30 - 39 %,0,1,2000,1,0
9,Id_mj4hcy8x75,2023-03-01,4,self employed,1859.0,Rural,Limpopo,,,,,,,,,,0,1,1991,4,1
10,Id_h7gc4tnjg4,2022-08-10,3,other,,Urban,Gauteng,1.0,,,2.0,30 - 39 %,,50 - 59 %,,40 - 49 %,1,1,1999,9,1
11,Id_nnrpawrczv,2022-02-23,2,unemployed,736.0,Urban,Limpopo,1.0,,,1.0,30 - 39 %,,40 - 49 %,,30 - 39 %,1,1,1992,3,0
12,Id_x5fkg0l401,2021-08-19,1,studying,,Urban,KwaZulu-Natal,1.0,,,4.0,60 - 69 %,,60 - 69 %,,60 - 69 %,0,1,1998,9,1
13,Id_syk9ubb0fi,2021-08-19,1,wage employed,0.0,Suburb,Mpumalanga,0.0,,,1.0,,,,,,0,1,1987,12,0
14,Id_zaol8djev9,2022-03-02,2,unemployed,796.0,Urban,KwaZulu-Natal,1.0,,,,30 - 39 %,,70 - 79 %,,30 - 39 %,0,1,2000,12,0
15,Id_j028yx8q4y,2021-08-18,1,self employed,2181.0,Urban,Free State,1.0,0.0,0.0,3.0,,,40 - 49 %,,,1,1,1989,11,1
16,Id_0znjq6ybh6,2022-07-28,3,self employed,1527.0,Urban,Gauteng,1.0,0.0,0.0,5.0,,60 - 69 %,,40 - 49 %,,0,1,2000,5,1
17,Id_qwzzy053ij,2022-02-28,2,studying,,Urban,Free State,1.0,0.0,0.0,1.0,30 - 39 %,,30 - 39 %,,30 - 39 %,0,1,1994,6,1
18,Id_p9215a0s3n,2022-08-12,3,other,,Urban,Western Cape,1.0,,,,,40 - 49 %,60 - 69 %,,,1,1,1999,10,1
19,Id_qssqo87bxo,2022-03-03,2,unemployed,0.0,Urban,North West,1.0,0.0,0.0,1.0,,50 - 59 %,50 - 59 %,,,1,1,2000,1,1
20,Id_pasuq7vzqx,2022-03-11,2,unemployed,461.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,30 - 39 %,,50 - 59 %,,0 - 29 %,1,1,2000,1,0
21,Id_v9hd6vf2zj,2023-02-15,4,unemployed,2593.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,,,,,,,1,1,1994,1,0
22,Id_sbqyyc6c6z,2023-03-23,4,studying,,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1999,8,0
23,Id_icpsk4fk4m,2023-02-20,4,self employed,,Urban,Gauteng,1.0,0.0,0.0,4.0,,40 - 49 %,,40 - 49 %,,0,1,2001,3,0
24,Id_pk6yf9ymk9,2022-03-08,2,unemployed,1532.0,Rural,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,1993,11,0
25,Id_1vnhqk5dv4,2022-08-11,3,studying,,Urban,Gauteng,,,,,,,,,,0,1,2003,12,0
26,Id_a4g4inxt9b,2022-08-03,3,unemployed,217.0,Urban,KwaZulu-Natal,,,,,,,,,,1,1,1993,11,0
27,Id_mgs7xx0z7x,2022-03-07,2,employment programme,790.0,Urban,Gauteng,1.0,,,5.0,,60 - 69 %,,50 - 59 %,,0,1,2000,1,0
28,Id_zk43y06kue,2023-03-22,4,wage employed,641.0,Suburb,Limpopo,1.0,0.0,0.0,2.0,,40 - 49 %,50 - 59 %,,,1,1,1998,1,0
29,Id_q5p3xwzvgj,2022-02-25,2,unemployed,951.0,Urban,Eastern Cape,0.0,,,3.0,,,,,,0,1,1987,9,0
30,Id_la2wedbqnn,2023-02-13,4,wage employed,334.0,Rural,North West,1.0,0.0,0.0,,,30 - 39 %,50 - 59 %,,,1,1,2000,1,0
31,Id_dsokj518i3,2023-02-09,4,unemployed,250.0,Rural,Limpopo,,,,,,,,,,1,1,1997,9,0
32,Id_fvro19s1he,2023-03-15,4,studying,,Rural,Mpumalanga,1.0,1.0,0.0,,0 - 29 %,,60 - 69 %,,,1,1,2000,6,0
33,Id_2fqa1fu25o,2022-08-11,3,other,,Rural,KwaZulu-Natal,,,,,,,,,,0,1,1997,10,1
34,Id_agwy8xs4xf,2022-03-15,2,unemployed,827.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,,40 - 49 %,40 - 49 %,,,1,1,2000,1,0
35,Id_3gzmmiavue,2021-08-19,1,studying,,Rural,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,,50 - 59 %,,30 - 39 %,0,1,1992,1,1
36,Id_3q21nanivx,2022-08-10,3,other,,Rural,KwaZulu-Natal,1.0,0.0,0.0,0.0,,30 - 39 %,50 - 59 %,,,1,1,1988,10,1
37,Id_0rhx3682ay,2022-03-14,2,unemployed,522.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,,40 - 49 %,,50 - 59 %,,30 - 39 %,1,1,2000,1,0
38,Id_1fw74rpdkq,2021-08-13,1,employment programme,0.0,Urban,Mpumalanga,1.0,,,4.0,,,,,,0,1,1993,8,0
39,Id_6o859785c2,2022-02-24,2,unemployed,1186.0,Urban,Gauteng,1.0,,,3.0,,30 - 39 %,40 - 49 %,,,1,1,1994,7,0
40,Id_7nma832cqs,2023-02-09,4,wage employed,61.0,Urban,Gauteng,1.0,,,4.0,,40 - 49 %,,40 - 49 %,,0,1,2000,1,0
41,Id_j2its5w6qo,2023-02-08,4,unemployed,401.0,Suburb,Limpopo,,,,,,,,,,0,1,2001,10,0
42,Id_daalwjcazp,2023-02-13,4,unemployed,67.0,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2003,11,0
43,Id_wbnw35rvs2,2022-03-07,2,studying,,Urban,Western Cape,1.0,0.0,0.0,2.0,,50 - 59 %,40 - 49 %,,,0,1,2000,1,0
44,Id_gqbituoecf,2023-02-13,4,unemployed,67.0,Urban,KwaZulu-Natal,,,,,,,,,,0,1,2004,6,0
45,Id_levl92lmn7,2023-02-10,4,wage employed,304.0,Urban,Northern Cape,1.0,0.0,0.0,,,50 - 59 %,50 - 59 %,,,0,1,2000,1,1
46,Id_bjtvostcww,2023-02-17,4,unemployed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,40 - 49 %,,50 - 59 %,,,0,1,2000,1,1
47,Id_yvzil0ca5k,2021-08-11,1,studying,,Urban,Gauteng,0.0,0.0,0.0,,,,,,,1,1,2000,4,1
48,Id_bqjzb9e2sp,2022-03-18,2,wage employed,125.0,Suburb,Limpopo,1.0,0.0,0.0,,30 - 39 %,,50 - 59 %,,50 - 59 %,0,1,2000,1,0
49,Id_trpadp7n0e,2023-03-06,4,studying,,Urban,Western Cape,0.0,0.0,0.0,3.0,,,,,,1,1,2004,8,0
50,Id_1krlaslg3m,2023-02-13,4,studying,,Urban,Eastern Cape,1.0,0.0,0.0,4.0,,40 - 49 %,50 - 59 %,,,0,1,1994,11,1
51,Id_5we1xxc82q,2022-08-11,3,other,,Rural,Limpopo,0.0,,,1.0,,,,,,0,1,1992,3,1
52,Id_h31135txix,2022-02-23,2,studying,,Urban,Gauteng,1.0,,,2.0,,0 - 29 %,,40 - 49 %,,1,1,2001,1,0
53,Id_7nq9t8h22c,2022-03-11,2,wage employed,119.0,Urban,Free State,1.0,0.0,0.0,,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0
54,Id_60bak15b2g,2022-08-01,3,unemployed,583.0,Rural,Limpopo,1.0,0.0,0.0,2.0,,30 - 39 %,50 - 59 %,,,1,1,1999,5,0
55,Id_7zp71bqshg,2023-02-08,4,unemployed,401.0,Rural,Mpumalanga,1.0,0.0,0.0,,,60 - 69 %,40 - 49 %,,,0,1,2000,5,0
56,Id_m98a9kc6us,2023-02-21,4,unemployed,401.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,,40 - 49 %,50 - 59 %,,,0,1,2002,7,0
57,Id_4hhmh7p1pe,2023-02-07,4,wage employed,396.0,Urban,Mpumalanga,1.0,,,4.0,30 - 39 %,,,50 - 59 %,0 - 29 %,1,1,2000,1,0
58,Id_yuwtc72lrc,2023-02-22,4,unemployed,707.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,50 - 59 %,,60 - 69 %,,30 - 39 %,0,1,1996,8,0
59,Id_6jmt7mdvzq,2022-07-29,3,other,,Rural,Limpopo,0.0,,,,,,,,,0,1,1993,7,1
60,Id_fo3o68q6zj,2023-02-13,4,self employed,,Urban,North West,1.0,0.0,0.0,3.0,,40 - 49 %,30 - 39 %,,,0,1,2003,9,1
61,Id_h3g4kwf6sb,2022-03-15,2,unemployed,1205.0,Urban,Limpopo,1.0,1.0,0.0,1.0,,50 - 59 %,60 - 69 %,,,1,1,2000,1,0
62,Id_9r91y11bh9,2022-08-10,3,studying,,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,30 - 39 %,,60 - 69 %,,30 - 39 %,1,1,2004,2,0
63,Id_u4psfhi3pe,2022-03-03,2,studying,,Urban,KwaZulu-Natal,1.0,0.0,1.0,4.0,0 - 29 %,,50 - 59 %,,,1,1,2000,1,0
64,Id_m0tzon3dlw,2022-09-03,3,unemployed,309.0,Urban,Gauteng,1.0,0.0,0.0,4.0,,50 - 59 %,40 - 49 %,,,1,1,1992,5,0
65,Id_spgk0jd93e,2023-02-17,4,wage employed,59.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,0 - 29 %,,60 - 69 %,,0 - 29 %,1,1,2000,1,0
66,Id_bbahtzvpl8,2021-08-19,1,studying,,Urban,Eastern Cape,,,,,,,,,,0,1,2001,4,0
67,Id_adthc97v63,2021-08-19,1,studying,,Urban,Western Cape,,,,,,,,,,1,1,1999,10,0
68,Id_h3nbp8l8nx,2023-03-08,4,unemployed,2256.0,Rural,Limpopo,0.0,,,,,,,,,1,1,1994,6,0
69,Id_3edx8npgyr,2023-03-14,4,unemployed,2986.0,Rural,Northern Cape,0.0,0.0,0.0,,,,,,,1,1,1995,10,0
70,Id_sz50wmv0v6,2023-03-02,4,unemployed,184.0,Urban,Gauteng,1.0,,,1.0,0 - 29 %,,40 - 49 %,,0 - 29 %,1,1,2000,1,0
71,Id_nueyy3t7nh,2023-03-02,4,studying,,Urban,Gauteng,1.0,0.0,1.0,5.0,,40 - 49 %,,50 - 59 %,,1,1,2000,1,1
